System Code	Identifier	logFC	P.Value	adj.P.Val
Ch	HMDB04666	-0.757601656	2.00E-05	0.005300147
Ch	HMDB11496	-1.33607843	3.28E-05	0.005300147
Ch	HMDB00705	0.212409034	0.000210067	0.022617214
Ch	HMDB11531	-0.683113832	0.000407027	0.02648354
Ch	HMDB02759	-0.327352756	0.000409962	0.02648354
Ch	HMDB00622	-0.795001386	0.000734361	0.03953308
Ch	HMDB11152	-1.089328627	0.000919217	0.042415293
Ch	HMDB12088	-0.331712063	0.001338078	0.054024879
Ch	HMDB00387	0.198056699	0.002875887	0.103212394
Ch	HMDB13325	0.603681959	0.003288098	0.106205551
Ch	HMDB11474	-0.484527565	0.006187459	0.157671564
Ch	HMDB10395	-0.395466904	0.006645599	0.157671564
Ch	HMDB11484	-0.590760567	0.007238977	0.157671564
Ch	HMDB00152	0.408762334	0.007245323	0.157671564
Ch	HMDB12881	0.12892416	0.007322209	0.157671564
Ch	HMDB61112	-0.312582824	0.00842313	0.161902756
Ch	HMDB00529	-0.720136208	0.008521198	0.161902756
Ch	HMDB02183	-0.115109238	0.016538729	0.280691028
Ch	HMDB11473	-1.099773307	0.017263479	0.280691028
Ch	HMDB01008	0.165129441	0.017380249	0.280691028
Ch	HMDB01008	-0.161461667	0.020757649	0.319272412
Ch	HMDB11490	-0.552672333	0.022268253	0.326230709
Ch	HMDB01015	0.289958576	0.024661732	0.326230709
Ch	HMDB0000895	0.14593479	0.026384324	0.326230709
Ch	HMDB00269	-0.15467735	0.027232243	0.326230709
Ch	HMDB13124	-0.35997499	0.027271199	0.326230709
Ch	HMDB13034	-0.198984871	0.027392106	0.326230709
Ch	HMDB13302	0.261871401	0.029587085	0.326230709
Ch	HMDB00421	0.144981571	0.030241915	0.326230709
Ch	HMDB11487	-0.269362009	0.033973193	0.326230709
Ch	HMDB12342	0.10382285	0.034321705	0.326230709
Ch	HMDB00267	0.157217869	0.034688982	0.326230709
Ch	HMDB00148	0.288148012	0.034957843	0.326230709
Ch	HMDB06695	0.172018465	0.035586676	0.326230709
Ch	HMDB10390	0.866763589	0.036123796	0.326230709
Ch	HMDB37844	0.162740065	0.036876426	0.326230709
Ch	HMDB00663	0.556265464	0.037370081	0.326230709
Ch	HMDB00651	0.261987351	0.044194735	0.375655246
Ch	HMDB01931	-0.424775781	0.048658691	0.397437714
Ch	HMDB29377	0.18582779	0.049218293	0.397437714
Ch	HMDB04193	0.245563002	0.052871425	0.416523663
Ch	HMDB02250	0.235499759	0.05602598	0.421164922
Ch	HMDB00782	-0.422082568	0.056068395	0.421164922
Ch	HMDB13164	0.091959088	0.057825195	0.424489502
Ch	HMDB31057	0.335745975	0.064678191	0.432608576
Ch	HMDB00097	-0.770575378	0.065385513	0.432608576
Ch	HMDB02013	0.242825392	0.065995881	0.432608576
Ch	HMDB02931	-0.288871687	0.066614044	0.432608576
Ch	HMDB06344	0.230379171	0.069385617	0.432608576
Ch	HMDB13240	0.200100787	0.070651259	0.432608576
Ch	HMDB00222	-0.448423574	0.070665965	0.432608576
Ch	HMDB00897	0.24344596	0.070676445	0.432608576
Ch	HMDB60061	0.159465204	0.070985308	0.432608576
Ch	HMDB00407	-0.213738458	0.072615656	0.433047174
Ch	HMDB00094	-0.101325008	0.074683723	0.433047174
Ch	HMDB11149	0.407578154	0.076203926	0.433047174
Ch	HMDB10393	0.849557486	0.07642009	0.433047174
Ch	HMDB00421	-0.115353469	0.079973554	0.445369966
Ch	HMDB00623	0.170974825	0.083978109	0.45974456
Ch	HMDB13464	0.381781031	0.086004597	0.462991414
Ch	HMDB00210	0.218944545	0.087595193	0.463823728
Ch	HMDB00462	0.441128696	0.089619927	0.466890912
Ch	HMDB00206	0.210636718	0.092467588	0.474079857
Ch	HMDB00161	0.203214262	0.094175026	0.475289585
Ch	HMDB00086	0.263349715	0.098673296	0.490330379
Ch	HMDB10351	-0.586095203	0.101278416	0.49565043
Ch	HMDB02212	-0.117940905	0.103877868	0.500784349
Ch	HMDB11756	0.193032604	0.105473671	0.500999938
Ch	HMDB13205	-0.098427896	0.107210904	0.501871335
Ch	HMDB11532	0.464125053	0.110449534	0.509645708
Ch	HMDB12096	-0.32400209	0.116251143	0.521295002
Ch	HMDB04827	0.623674184	0.117136118	0.521295002
Ch	HMDB06528	-0.233655224	0.119428115	0.521295002
Ch	HMDB00792	0.610057391	0.119429815	0.521295002
Ch	HMDB11475	0.392517849	0.121605784	0.523715577
Ch	HMDB11171	0.271939177	0.124825847	0.525126675
Ch	HMDB06322	0.095707298	0.126546804	0.525126675
Ch	HMDB41623	0.201493351	0.128328136	0.525126675
Ch	HMDB00123	0.256191118	0.129123534	0.525126675
Ch	HMDB10379	-0.139931904	0.130205378	0.525126675
Ch	HMDB0000491	0.256091471	0.132757253	0.525126675
Ch	HMDB00782	0.694394774	0.133313893	0.525126675
Ch	HMDB28783	0.13974171	0.136049405	0.529445276
Ch	HMDB00672	0.152717678	0.138838614	0.533867529
Ch	HMDB10383	-0.19771219	0.141673571	0.53835957
Ch	HMDB13122	0.202585618	0.146310119	0.549513585
Ch	HMDB00158	-0.166674099	0.149987824	0.556851348
Ch	HMDB00197	-0.142030374	0.153519604	0.561486453
Ch	HMDB02038	0.162687521	0.155071971	0.561486453
Ch	HMDB00277	-0.117455109	0.157033649	0.561486453
Ch	HMDB10397	0.581067953	0.158189682	0.561486453
Ch	HMDB06461	-0.375299731	0.161684547	0.567653357
Ch	HMDB00824	0.082687423	0.167868196	0.572047007
Ch	HMDB04702	0.081965856	0.170383397	0.572047007
Ch	HMDB02829	-0.43847958	0.171764182	0.572047007
Ch	HMDB00168	0.171676087	0.172623976	0.572047007
Ch	HMDB02000	-0.313713147	0.175370264	0.572047007
Ch	HMDB61693	-0.239786724	0.176609034	0.572047007
Ch	HMDB61690	-0.234056927	0.177315301	0.572047007
Ch	HMDB04400	-0.11891686	0.178517137	0.572047007
Ch	HMDB00772	0.06215876	0.179037426	0.572047007
Ch	HMDB61677	0.078553521	0.182319585	0.572047007
Ch	HMDB00190	-0.11136327	0.182417467	0.572047007
Ch	HMDB00043	-0.328172949	0.184878211	0.57418906
Ch	HMDB00594	0.285079481	0.191134051	0.587964747
Ch	HMDB11558	0.227899098	0.195716395	0.588250163
Ch	HMDB00791	0.081236401	0.195742848	0.588250163
Ch	HMDB00774	0.254037183	0.198042948	0.588250163
Ch	HMDB00779	0.160095135	0.198511665	0.588250163
Ch	HMDB04400	-0.13800085	0.200682131	0.589275711
