Compounds_ID	Metabolite	KEGG	HMDB		Chemical Class	Pathway
nHILIC_133.0506_4.4	"2,3-Dihydroxyvaleric acid(1)"	C04039	HMDB00421	1	Cofactors and Vitamins	Pantothenate and CoA Metabolism
nHILIC_133.0506_2.3	"2,3-Dihydroxyvaleric acid(2)"	C04039	HMDB00421	2	Cofactors and Vitamins	Pantothenate and CoA Metabolism
nHILIC_224.0617_4.8	"Androstenediol (3beta,17beta) disulfate"	C04295	HMDB03818	3	Lipid	Androgenic Steroids
nRPLC_201.1133_6.3	"C10:0,DC FA (Sebacic acid)(1)"	C08277	HMDB00792	4	Lipid	"Fatty Acid, Dicarboxylate"
nRPLC_201.1133_5.9	"C10:0,DC FA (Sebacic acid)(2)"	C08277	HMDB00792	5	Lipid	"Fatty Acid, Dicarboxylate"
nRPLC_187.1339_7.1	"C10:0,OH FA(1)"		HMDB02203	6	Lipid	"Fatty Acid, Monohydroxy"
nRPLC_187.134_7.5	"C10:0,OH FA(2)"		HMDB02203	7	Lipid	"Fatty Acid, Monohydroxy"
nRPLC_199.0976_5.6	"C10:1,DC FA"		HMDB00603	8	Lipid	"Fatty Acid, Dicarboxylate"
nRPLC_215.1288_6.8	"C11:0,DC FA"		HMDB00888	9	Lipid	"Fatty Acid, Dicarboxylate"
nRPLC_229.1445_7.4	"C12:0,DC FA"	C02678	HMDB00623	10	Lipid	"Fatty Acid, Dicarboxylate"
nRPLC_215.1653_8.4	"C12:0,OH FA(1)"		HMDB00387	11	Lipid	"Fatty Acid, Monohydroxy"
nRPLC_215.1652_8.1	"C12:0,OH FA(2)"		HMDB00387	12	Lipid	"Fatty Acid, Monohydroxy"
nRPLC_257.176_8.5	"C14:0,DC FA(1)"		HMDB00872	13	Lipid	"Fatty Acid, Dicarboxylate"
nRPLC_257.1759_8.8	"C14:0,DC FA(2)"		HMDB00872	14	Lipid	"Fatty Acid, Dicarboxylate"
nRPLC_285.2072_9.6	"C16:0,DC FA(1)"	C19615	HMDB00672	15	Lipid	"Fatty Acid, Dicarboxylate"
nRPLC_285.2071_9.2	"C16:0,DC FA(2)"	C19615	HMDB00672	16	Lipid	"Fatty Acid, Dicarboxylate"
nRPLC_271.228_10.3	"C16:0,OH FA(1)"		HMDB31057	17	Lipid	"Fatty Acid, Monohydroxy"
nRPLC_271.2279_9.6	"C16:0,OH FA(2)"		HMDB31057	18	Lipid	"Fatty Acid, Monohydroxy"
