SampleID	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y	ZKFV71L	ZKVR426	ZL63I8R	ZL9BTWF	ZLGD9M0	ZLPRB8E	ZLPZS0H	ZLTUJTN	ZLYEM2C	ZLZNCLZ	ZLZQMEV	ZM7JY3G	ZM8YXDM	ZMBH10Z	ZMBVNFM	ZMS5W76	ZN0JE53	ZN3TBJM	ZN9YTFN	ZNDMXI3	ZOZOW1T	ZPDABJR	ZPEL6L3	ZPF36E2	ZPMBHPS	ZQFL1P3	ZQMVU4Q	ZR47VBL	ZRB0F6P	ZRLZ98T	ZTJ7L7Z	ZTLIFAS	ZTMFN3O	ZTTL3YH	ZTUO1AO	ZTXY83G	ZUL3S6O	ZUPAQVU	ZV14SIB	ZVBQY1N	ZVC4YUG	ZVGW5FI	ZVM4N7A	ZVNCGHM	ZVTCAK9	ZW61YGW	ZWCZHHY	ZWFDEY0	ZWHMV5E	ZWLGEWL	ZX52KVK	ZXSO14L	ZY1ZKJY	ZY7IW45	ZY9XQJP	ZYXQKWY
pHILIC_302.3046_1.8	216912.8571	273543.2733	304936.3947	230363.7111	274118.26	276136.8125	343152.7533	205593.1438	174074.5417	239322.23	247713.4429	273497.1461	215942.34	199561.3904	238154.6846	232694.6417	231596.1875	278357.4	240231.2364	330094.3	269337.5938	290868.32	297796.2813	281605.35	266643.3775	187098.2667	266751.9667	280494.625	272363	433383.6	350233.7333	269171.825	259555.8	184982.2333	280060.05	164995.13	258901.7556	183053.4	302981.7	233932.2429	247730.9273	277764.2333	204356.6833	226133.2867	253174.1	234941.7	326831.2889	300536.5857	228431.9667	220391.9125	252917.2778	276852.5375	285641.66	277434.8714	346398.1372	225748	402270.8786	375551.8417	225636.8857	316834.7286
pHILIC_114.0661_2.5	76570615.71	107157612.7	60946702.63	86351610	78784788	66127612.92	95326125.56	95799358.13	90752045.83	74959965	89856610	100673379.1	96468183	96928068.7	67846458.46	78867273.33	95649137.5	56431755.71	100390777.3	75678140	93364262.5	95082744	94662074.38	81233255	94773312.63	89422696.67	87608015	75981007.5	67353005	75067765	64618423.33	90180142.5	74243092.5	67469380	85518956.67	75139636	67826813.33	96711755	81943590	92227901.43	97275040.91	62538468.89	86221610	81175069.33	68315276	73794213.33	65373961.11	87410392.14	67099013.33	89585733.75	76532431.11	61860977.5	65577932	93040405.71	76552954.48	73590090	79685682.14	68197402.5	60794502.86	63228682.86
pHILIC_137.0457_3.1	3262759.357	2497554.4	3590128.316	3002324	3187167.467	3740409.125	3735549.667	3025906.856	3797805.167	5476956.4	4182794.571	5166568	2577874.13	4730102.917	2938851.846	5827498.333	5659268.75	4152879.286	7134949.955	5727235	2715440.188	3542192.725	4280104.806	5980916	5290436.418	5293104.333	5653816.5	3811092.25	2396246	3703090.25	5306194	3902035.25	3176896.25	4229708.667	2751898.267	7665996.2	4771558.667	4684992	4445428.5	3517073.971	3262087.882	4773438.333	6266443.5	3177086	6792005.8	6425091	4964282.333	2789982.143	4332681.333	4493573.125	4016208.122	5785916.25	3880442	3447800.571	2819648.759	8535782	6406850.786	4724052.25	3167840.571	4567425.286
pHILIC_298.1139_4.7	54054.83357	65130.122	53503.99421	49779.45	56652.16933	50538.46875	56841.0225	54724.2365	54463.40417	78522.676	66524.79357	80749.17774	57589.842	69322.39609	44176.26615	55587.82583	67725.60875	48349.05	69888.17182	68332.66	47923.70188	69918.15233	38163.96875	68458.30167	47837.64759	51157.935	67848.88667	59460.9075	59057.7	47173.3575	52753.94667	50896.13	55842.7825	39903.99	41702.075	55653.64	49637.36444	70571.885	49536.675	52203.96	62564.73182	40770.34556	55537.58	59341.95467	78729.024	53129.49333	47901.41556	46322.42857	39601.92	53194.58625	39766.38767	43676.0675	51056.238	80316.72	61239.74517	65239.18	37563.805	58570.57667	57705.53143	60741.70143
pHILIC_585.2694_4.9	1438264.45	318616.2999	1568164.895	2351282.678	1533642.773	1884833.188	6325283.056	3788099.663	4719846.325	3177522.83	5689430	3508837.27	1691467.35	477319.953	374627.9531	14043937.92	5068343.35	8817222.429	707920.4727	358912	1214751.438	367983.2676	205763.86	4030295.167	1092648.788	2922471.967	1917013.833	3695359.825	1005529.6	1473218.6	5975970.267	3312579.85	2993785.75	4328282.267	1369541.183	2699856.72	2181590.456	878935.2	1316460.85	3490756.614	679957.5727	3046601.844	3266459.667	530538.9427	308019.118	137438.51	704949.6889	257232.3286	1521364.733	5569915.625	3675720.889	1603183.578	1984105.4	1256479.744	281469.8841	741508.6	499390.7186	672301.85	3633458.429	1011717.541
pHILIC_219.0795_5	1025570.829	873691	816140.1053	1662991.333	1623772.567	1476702.988	1465559.889	1550923.881	1333816.067	1790911.6	1570968.779	1929054.922	2121196	1265496.804	890010.7462	1374430.625	2053254.625	1185420.843	1057174.9	1946064	905748.5375	1326602.59	960632.9875	1121834.967	1684400.368	1593558	1613853.383	1318915.725	1144870.55	1039180.2	1836061	1419138.8	1410999.75	1696382.667	1798007.5	1856736	1907268.889	1604252.5	1345939.35	1669500.857	1617066.364	892131.3667	1779128	1511620.333	1210446.6	798874.1667	955340.5444	987331.2643	1052497.667	1557916.688	1081805.2	1269876.95	977009.44	1124105.271	797577.0138	829001.2	860038.0071	798070.2083	1076446.4	865818.5286
pHILIC_892.6501_5	124390.0302	100198.722	161213.6475	346781.3111	233739.162	209685.0031	110183.4169	64207.71867	400986.7838	104513.648	101814.056	609700.7117	142430.0839	289419.0787	111494.7472	83149.81851	292113.8748	91980.08114	162690.5871	181816.9	91938.49813	98263.48469	191465.6913	747192.6876	148038.8205	182271.9017	208262.1283	214136.15	1804523.9	376154.5125	290133.02	158212.62	87018.50625	135719.2667	71098.58833	83287.994	220573.0699	94523.435	204904.7549	83059.6684	178942.1332	123418.89	315161.0383	102359.0588	105891.634	88897.05667	157385.8728	117851.3193	36006.03922	112073.7598	341456.3666	152895.0238	240455.08	116529.0902	134133.0548	352779.4	164794.0692	177689.3683	262272.7757	78241.36714
pHILIC_247.1437_5.3	1335744.334	1616085.867	499553.7153	1596835.386	519082.1223	872191.2038	2982895.261	3024598.494	7221138.658	445179.84	4951415.559	1447719.925	1590129.67	2166097.439	590830.8923	1430498.225	1731476.859	419078.4686	1640916.559	1579981	512581	1351223.471	956183.0875	1198836.412	618463.0547	543754.4667	1378198.562	4764566.25	1012858.785	4094871.75	2299222	632875.175	421244.405	709573.5333	6788286.333	2466010.4	1606271.256	837250.7	96297.5	1130192.097	1037479.518	7608067.222	45541257.6	837587.9667	6057164	3413485.333	2158152.778	2342285.35	1914857.133	1459381.013	229915.1633	805663.025	1303067.86	765673.3129	3475412.697	2834995	1655444.114	630980.1025	987675.7	1161031.829
pHILIC_583.2539_5.3	1077762.036	1112933.047	1623695.089	594091.2111	709864.0533	907766.5417	2052658.156	1731684.25	899159.35	693030.82	1267262.143	1352791.665	2447008.99	1512911.561	617648.4923	3727731.333	1525259.2	2282368.429	1541426.732	384586.3	2389621.563	826275.8675	779120.6125	1395099.817	921739.7807	896703.4833	1339939.333	1185962.825	695370.9	796862.35	1731530	1785683.45	1883032	1022858.967	1109468.85	1116816.22	1194909.033	329258.7	487546.3	971360.6429	1148853.891	3542982.889	1734977.417	1226504.347	605078.64	827068.8	784039.5	1025073.107	980957.7667	1675300.113	1492546.289	1505474.825	1502645	1244416.914	968996.7379	1679048	958848.7571	915441.2917	1084357.871	783379.9429
pHILIC_428.3736_5.5	92468.155	128471.6113	152596.2495	87212.59444	95671.612	116470.9475	259178.0433	148995.4794	75132.435	123102.99	100945.4186	176043.0291	113723.726	126458.0113	117711.6385	122140.8	104629.3088	172765.0486	141274.6659	103233	135111.6394	91133.69525	133601.34	119695.0433	182376.0572	109783.0783	119067.65	179482.23	97651.975	123632.5425	151672.27	116848.6475	114763.45	81387.87	259559.25	79335.822	155103.0122	93487.05	46223.78	128601.7443	126952.8273	167649.5033	124511.7667	101485.202	108125.342	71268.92333	227350.1	125332.5729	122495.3333	108446.0475	139901.5056	129588.6275	137357.2	101275.7914	112551.029	61455.11	152315.2036	131439.0808	135741.7871	156249.6443
