	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y	ZKFV71L	ZKVR426 	ZL63I8R 	ZL9BTWF	ZLGD9M0	ZLPRB8E 	ZLPZS0H	ZLTUJTN	ZLYEM2C	ZLZNCLZ	ZLZQMEV	ZM7JY3G	ZM8YXDM	ZMBH10Z	ZMBVNFM	ZMS5W76	ZN0JE53	ZN3TBJM	ZN9YTFN	ZNDMXI3	ZOZOW1T	ZPDABJR 	ZPEL6L3	ZPF36E2	ZPMBHPS	ZQFL1P3 	ZQMVU4Q	ZR47VBL	ZRB0F6P 	ZRLZ98T	ZTJ7L7Z 	ZTLIFAS	ZTMFN3O	ZTTL3YH	ZTUO1AO	ZTXY83G	ZUL3S6O	ZUPAQVU	ZV14SIB	ZVBQY1N	ZVC4YUG	ZVGW5FI	ZVM4N7A	ZVNCGHM	ZVTCAK9	ZW61YGW 	ZWCZHHY 	ZWFDEY0 	ZWHMV5E	ZWLGEWL	ZX52KVK	ZXSO14L	ZY1ZKJY	ZY7IW45	ZY9XQJP	ZYXQKWY
IGLL5	2.261963225	3.562824533	2.603470526	2.015590889	2.537768	2.501371063	2.723912633	1.927502056	2.8377546	3.4439058	3.517385746	2.2042015	3.1204114	2.8712229	2.669770769	3.084858458	2.758364375	4.347206	2.40916084	2.777197	2.473019741	2.737862831	2.427793381	3.454507	1.7742663	3.810186286	2.3503271	2.411199	2.90972	3.0193642	2.628946	2.621313	2.74082325	2.434354667	2.51473525	2.7816872	3.477028667	2.048842	2.5684945	2.894422	1.923405191	2.656272267	2.57830145	3.179202413	4.013030333	2.500265	2.493465278	2.878485286	3.502317333	3.3080655	2.588028967	2.723307225	2.5587647	2.719078143	3.371569089	3.978942	2.353535447	2.754472	2.137968547	2.712597
MASP2	-4.226984917	-3.7263704	-3.245311105	-3.885288	-3.745524933	-3.648178458	-3.880978722	-3.460949222	-3.918813818	-4.3815806	-3.534791077	-4.749203333	-3.6346022	-3.183987217	-3.898051846	-3.304583667	-3.186837125	-3.703261571	-3.569536917	-2.952334	-3.526757928	-4.078216905	-4.256599	-3.092260143	-3.433880508	-2.891971714	-3.459036	-3.43550975	-3.677876	-3.6292388	-2.756827	-3.72927075	-3.8222825	-3.059199333	-3.550533	-5.0620302	-4.561716778	-3.116413	-3.2574615	-3.091580833	-3.527916333	-3.809045	-3.535004167	-3.245710073	-4.138731667	-3.694424	-4.263868889	-4.654926929	-3.1283	-4.006053625	-3.678762778	-3.71981325	-4.3420118	-5.570097143	-3.890012286	-3.61031	-4.732523867	-3.301825667	-2.772540333	-3.248903
APOL1	1.78939125	2.495736133	2.478385579	2.700453	2.1601384	2.169984004	2.416072667	2.304884222	1.984152091	2.1302843	2.083091615	2.342351667	1.5823559	1.984659087	2.284651692	1.8441975	1.12586625	1.968256857	2.181679833	1.838584	2.138821087	1.592451374	2.083751438	2.065782857	2.018799077	1.413481871	1.855189167	1.8593655	1.15834	2.0340848	2.268159	1.99426875	2.04111175	1.862616	1.8491605	1.375047	2.222739556	2.4309145	2.790365	1.649461533	1.767307117	1.997895889	2.075152833	1.683962067	2.0050025	1.920155667	1.808268222	1.533175929	1.558242667	2.182185	1.693838111	1.707487925	1.53580724	2.242627714	2.026647536	2.072115	2.23375	1.330749583	1.991599111	2.118866857
CEP290	-4.61460425	-5.085657467	-4.141790211	-6.243706889	-5.3695542	-5.082654458	-4.187052667	-5.0526795	-5.445442	-4.1186695	-4.896552385	-5.270159083	-3.5582048	-4.773061304	-5.270430154	-4.091226333	-3.74406625	-5.914100143	-5.44937975	-5.066516	-4.727732611	-5.5034255	-4.968286375	-5.040846286	-5.619202062	-4.928016286	-4.347655667	-4.87171875	-6.250193	-4.2445186	-5.588458667	-3.6499715	-4.53106725	-5.793835667	-5.63880025	-4.724752	-4.848088	-4.0240945	-3.301661	-5.810324	-4.45715925	-4.952858222	-5.337269667	-5.0063484	-4.548693167	-5.340345667	-4.79288	-4.723507571	-5.419873	-4.71333525	-5.187181778	-5.253929625	-5.7920474	-5.288741143	-4.827649429	-6.844104	-5.327132467	-5.623803667	-6.496800222	-5.213392429
CD5L	-0.638960988	-0.045558368	-0.456636803	-0.6518707	-2.2880438	0.172752904	-0.659854571	-0.475401847	-0.601272297	0.063776092	-0.172032445	-0.689142673	-0.48608854	-0.787898448	-0.57818716	-0.905978958	0.587214458	0.198065514	-0.27999155	-1.220578	0.155863356	-1.040819143	-1.112374313	0.162113057	-0.599980545	-0.9109844	-0.652010655	-0.15771538	0.1451169	-0.68134736	-0.349329827	-0.29960415	-0.687139	-0.8858808	-0.928684175	0.06148558	1.141013956	-0.8662833	-1.186731	-1.75218765	-0.622873292	-0.733557867	-0.528039017	0.033232981	-0.5551294	-0.413802333	0.812594961	-0.612136079	-0.509468433	-0.274339473	0.032532589	-0.412630038	0.52259553	-0.371268287	-0.157144371	-0.09365824	-0.502006513	0.511943193	-0.922742256	-0.570871357
FCN3	0.528030825	0.230315471	0.731993174	0.25128179	0.453446793	1.161795342	0.215698278	0.943609586	0.282244529	0.010409854	0.615795469	0.518948259	0.124486745	0.759986404	-0.194735792	0.8725834	0.509038389	-0.08926101	0.907369967	1.839821	0.577680253	0.285765742	-0.099613406	0.6340096	0.662744787	-0.296774569	0.453604217	0.509941825	-0.3823207	0.32626388	0.408227733	0.71790505	0.350661825	0.476465367	-0.064733815	-0.162731684	0.496659073	0.4098341	0.0524225	0.63971265	0.776986504	0.379292722	0.4731201	0.641571273	-0.559500983	0.668962767	0.287564078	0.352570978	-0.3335046	0.288227988	-0.021056692	1.1278068	0.224754378	-0.343702896	0.59598394	-2.030432	-0.146513047	0.260300317	1.051058211	0.634172414
ATRN	-1.435441158	-0.975615313	-1.161746126	-1.430852667	-1.273574333	-1.160588775	-1.273564433	-1.038757711	-0.977519145	-1.6107566	-1.125426738	-1.092655467	-1.5388686	-1.170980709	-1.111287708	-1.2892763	-1.627354875	-1.944091	-1.1221774	-0.9881339	-1.011295483	-1.353108736	-1.408418869	-1.431706143	-0.935130952	-1.601272143	-1.490416333	-1.211325575	-1.405425	-1.3661572	-1.336297	-1.3718205	-1.5450235	-1.697546667	-1.40348775	-1.4876604	-1.557385433	-1.562355	-1.423455	-1.207576183	-1.5381019	-1.1119269	-1.592862183	-1.62427574	-1.587313333	-1.171876667	-1.479707711	-1.435136183	-2.402761	-1.4742897	-1.570022889	-1.089840563	-1.4715262	-1.190148357	-0.997426103	-1.993018	-1.380189867	-1.0608685	-1.279233244	-1.203002771
ATRN.1	-2.169743833	-1.858262067	-1.864769563	-2.173226667	-1.9738332	-1.963736	-1.801480111	-1.682272333	-1.712112255	-2.3469369	-1.583486692	-1.745469792	-1.37557629	-1.859969004	-1.693424108	-1.922174217	-1.900675388	-1.6078591	-1.543172662	-2.806956	-1.654204275	-2.027017662	-1.729894556	-2.005265157	-1.360122717	-2.078560571	-1.5892852	-2.0429075	-1.934005	-2.0396016	-1.979558333	-1.89329725	-2.12534225	-2.349668333	-2.042627375	-2.4729024	-1.992846689	-2.047266	-2.1263955	-1.838054667	-1.75281735	-1.666174222	-2.231605667	-2.004263467	-2.0460395	-1.209524833	-1.92700976	-1.867550086	-1.993744333	-1.84221425	-2.173357889	-1.444336488	-1.94174656	-1.907198714	-1.586080391	-1.736891	-2.256044167	-1.616229058	-1.6589864	-1.767297486
APOM	2.654103417	2.013421067	1.952606211	2.539497556	2.416097733	2.234888417	2.217832556	2.399562	2.131965545	2.1016093	1.806742	1.87846675	2.0724447	2.241518652	2.252800462	2.251907	1.23912375	1.908813	2.404376417	1.820401	2.420404559	1.7332735	2.123105063	2.009740714	2.397276908	2.014114429	2.1981155	2.4315965	1.691422	2.4499358	2.427708333	2.2373965	1.9887005	2.75914	2.321919875	1.2431962	2.723234889	2.419508	2.0405765	2.074772667	2.585656583	2.425257889	2.330659333	2.389634267	1.504889817	2.217863667	2.354269889	2.485656143	2.545152333	2.27203025	2.315786111	1.924856	1.95647	1.202350043	2.481253643	2.143924	2.041233733	1.880203975	2.512773333	2.274211286
CP	5.704710833	6.0842266	5.721449158	6.325775889	6.015673733	5.669291833	5.595025556	5.974413	5.800421636	5.8221951	5.335554308	5.868406875	5.4461859	5.379034391	5.909821154	5.021661917	5.64692425	5.970252143	5.370924417	6.098044	5.466329662	5.725518286	5.869694813	5.658492571	5.661147569	5.608379429	5.8486835	5.8062715	6.059343	5.9143552	5.090596	5.41732725	5.6536655	5.846112333	5.47529025	5.6392212	5.660656	5.5613935	6.626925	5.592372833	5.608520583	5.466903667	5.0240185	5.522887133	5.759134	5.610170667	5.746327889	5.597056357	6.102351	5.480998	5.131742778	5.568778875	5.8910206	6.160781	5.531457393	5.696918	5.4788044	5.255363	5.797899556	5.344239857
